,lon,lat,temp,hpa,wet,speed,dir,mm,height,t_time,pm25,pm25_24,pm10,pm10_24,aqi,time
119,116.75,39.85,11.9,1013.2,35.0,0.9,358.0,0.0,19.8,535.0,19.0,19.0,61.0,86.0,69.0,7.0
120,116.5,39.95,12.8,1011.8,20.0,1.5,56.0,0.0,35.3,535.0,24.0,34.0,56.0,66.0,58.0,7.0
121,116.21666670000002,40.21666667,14.7,1006.7,11.0,2.4,34.0,0.0,76.2,535.0,11.0,23.0,28.0,32.0,34.0,7.0
122,116.1,39.93333333,12.4,1003.9,21.0,0.6,85.0,0.0,98.0,535.0,9.0,20.0,123.0,76.0,64.0,7.0
123,116.46666670000002,39.8,14.4,1011.9,15.0,1.5,38.0,0.0,31.3,535.0,7.0,17.0,51.0,78.0,65.0,7.0
124,116.2,39.95,13.6,1008.1,19.0,1.5,47.0,0.0,63.0,535.0,16.0,17.0,81.0,86.0,69.0,7.0
125,116.25,39.86666667,15.5,1009.2,12.0,3.1,66.0,0.0,55.2,535.0,16.0,19.0,81.0,87.0,69.0,7.0
126,116.35,39.71666667,14.8,1011.1,13.0,2.2,57.0,0.0,37.5,535.0,25.0,40.0,103.0,100.0,75.0,7.0
127,116.2,39.76666667,14.6,1009.9,14.0,2.2,70.0,0.0,48.9,535.0,19.0,27.0,48.0,52.0,51.0,7.0
128,116.61666670000001,40.13333333,15.7,1012.8,15.0,2.1,37.0,0.0,28.6,536.0,13.0,23.0,59.0,79.0,65.0,8.0
129,116.28333329999998,39.98333333,14.9,1010.7,16.0,1.5,61.0,0.0,45.8,536.0,16.0,18.0,37.0,49.0,49.0,8.0
130,115.96666670000002,40.45,11.5,959.2,16.0,1.9,99.0,0.0,487.9,536.0,26.0,20.0,63.0,84.0,68.0,8.0
131,116.86666670000001,40.38333333,15.3,1007.8,18.0,2.0,77.0,0.0,71.8,536.0,39.0,21.0,51.0,77.0,64.0,8.0
132,116.63333329999999,40.36666667,17.3,1007.1,11.0,1.9,83.0,0.0,75.7,536.0,21.0,18.0,62.0,60.0,56.0,8.0
133,117.11666670000001,40.65,12.1,981.7,15.0,2.4,63.0,0.0,293.3,536.0,12.0,22.0,,,90.0,8.0
134,117.11666670000001,40.16666667,14.4,1012.3,23.0,1.4,50.0,0.0,32.1,536.0,20.0,23.0,80.0,116.0,83.0,8.0
135,116.75,39.85,15.2,1013.7,22.0,1.5,335.0,0.0,19.8,536.0,13.0,19.0,43.0,85.0,68.0,8.0
136,116.5,39.95,15.2,1012.3,17.0,2.0,73.0,0.0,35.3,536.0,14.0,33.0,32.0,64.0,57.0,8.0
137,116.21666670000002,40.21666667,16.3,1007.1,10.0,3.1,23.0,0.0,76.2,536.0,7.0,22.0,29.0,30.0,32.0,8.0
138,116.1,39.93333333,14.9,1004.5,14.0,1.4,211.0,0.0,98.0,536.0,,,93.0,77.0,64.0,8.0
139,116.46666670000002,39.8,16.1,1012.5,11.0,3.6,42.0,0.0,31.3,536.0,12.0,14.0,53.0,76.0,63.0,8.0
140,116.2,39.95,15.7,1008.7,15.0,1.8,68.0,0.0,63.0,536.0,15.0,17.0,82.0,86.0,69.0,8.0
141,116.25,39.86666667,16.8,1009.7,12.0,2.9,48.0,0.0,55.2,536.0,12.0,19.0,63.0,87.0,69.0,8.0
142,116.35,39.71666667,16.2,1011.6,12.0,2.6,59.0,0.0,37.5,536.0,33.0,40.0,71.0,99.0,75.0,8.0
143,116.2,39.76666667,16.4,1010.4,10.0,3.5,85.0,0.0,48.9,536.0,5.0,27.0,33.0,51.0,51.0,8.0
144,116.61666670000001,40.13333333,17.3,1013.0,11.0,2.8,13.0,0.0,28.6,537.0,18.0,21.0,42.0,71.0,61.0,9.0
145,116.28333329999998,39.98333333,17.6,1010.7,13.0,1.7,132.0,0.0,45.8,537.0,16.0,18.0,24.0,46.0,46.0,9.0
146,115.96666670000002,40.45,13.3,959.2,14.0,1.5,252.0,0.0,487.9,537.0,24.0,19.0,30.0,76.0,63.0,9.0
147,116.86666670000001,40.38333333,17.2,1007.8,13.0,2.8,66.0,0.0,71.8,537.0,22.0,20.0,,,61.0,9.0
148,116.63333329999999,40.36666667,17.3,1007.1,9.0,4.0,68.0,0.0,75.7,537.0,15.0,17.0,56.0,54.0,53.0,9.0
149,117.11666670000001,40.65,15.3,981.7,10.0,4.0,15.0,0.0,293.3,537.0,3.0,16.0,5.0,92.0,71.0,9.0
150,117.11666670000001,40.16666667,17.4,1012.3,14.0,1.5,231.0,0.0,32.1,537.0,22.0,20.0,78.0,98.0,74.0,9.0
151,116.75,39.85,17.5,1013.8,10.0,3.3,13.0,0.0,19.8,537.0,3.0,17.0,52.0,80.0,65.0,9.0
152,116.5,39.95,17.2,1012.3,14.0,2.6,67.0,0.0,35.3,537.0,34.0,32.0,35.0,60.0,56.0,9.0
153,116.21666670000002,40.21666667,18.1,1007.1,12.0,1.2,14.0,0.0,76.2,537.0,8.0,21.0,16.0,29.0,31.0,9.0
